0,5971,619647,
1,5943,612678,
1,5945,613367,
1,6249,612783,
0,5846,608113,
0,5945,616522,
0,5323,557747,
0,5331,559564,
0,5274,559413,
0,5267,567022,
0,5265,569346,
0,5363,563854,
0,5315,560991,
0,5331,562429,
0,5317,561694,
0,5348,556815,
1,5292,552797,
0,5254,563022,
0,5245,552611,
0,5256,550364,
0,5273,551992,
0,5232,557019,
0,5303,553235,
0,5315,558998,
0,5203,554028,
0,5171,553143,
0,5297,549131,
0,5412,557029,
0,5301,567731,
0,5286,555765,
0,5268,556637,
1,5418,572930,
0,5415,570341,
0,5297,564685,
0,5432,582635,60731391,
1,10172,599183,
0,5542,574055,
0,5344,591634,
1,5834,567757,
