Num1,Ordenament cpp
10,2.88e-06
10,1.47e-06
10,1.54e-06
1000,0.000337188
1000,0.000259019
1000,0.000269439
20000,0.00386795
20000,0.00350495
20000,0.00349154
40000,0.00751664
40000,0.00751788
40000,0.00754604
60000,0.0115923
60000,0.0119594
60000,0.0117124
80000,0.0163729
80000,0.0158817
80000,0.0159441
100000,0.0202201
100000,0.0206188
100000,0.0203495
500000,0.116321
500000,0.114805
500000,0.1159
10,1.91e-06
10,1.22e-06
10,7.5e-07
1000,0.000277208
1000,0.000251229
1000,0.000254199
20000,0.00418402
20000,0.00354829
20000,0.00347023
40000,0.00738678
40000,0.00741016
40000,0.00737829
60000,0.0115711
60000,0.0114827
60000,0.0116385
80000,0.0159082
80000,0.0159277
80000,0.015935
100000,0.0201316
100000,0.0203132
100000,0.0201604
500000,0.114455
500000,0.114452
500000,0.115094
1000000,0.244592
1000000,0.239762
1000000,0.244384
10000000,2.86076
10000000,2.81931
10000000,2.80132
