Num2,Linear
10,2.7e-07
10,1.5e-07
10,1.4e-07
1000,6.5e-06
1000,6.491e-06
1000,6.49e-06
20000,0.000113114
20000,9.5023e-05
20000,7.5223e-05
40000,0.000110414
40000,0.000110404
40000,0.000106714
60000,0.000160065
60000,0.000160946
60000,0.000161856
80000,0.000213398
80000,0.000213398
80000,0.000212237
10000,2.655e-05
10000,2.6551e-05
10000,2.6561e-05
20000,5.3072e-05
20000,5.3082e-05
20000,5.3381e-05
50000,0.000133395
50000,0.000133385
50000,0.000133364
100000,0.000265269
100000,0.000265269
100000,0.000265259
100000,0.000246448
100000,0.000243168
100000,0.000243179
1000000,0.00242208
1000000,0.00243228
1000000,0.00243408
1000000,0.0024398
1000000,0.00255105
1000000,0.0024342
50000000,0.12647
50000000,0.125363
50000000,0.125855
100000000,0.251196
