Num1,Ordenament per barreja
10,1.45e-06
1000,0.00017683
20000,0.00411774
10,7.8e-07
10,1.52e-06
1000,0.000178078
20000,0.00419879
40000,0.00487844
60000,0.00766563
80000,0.0103981
10000,0.00109421
10,8.8e-07
1000,9.5109e-05
20000,0.00526457
40000,0.00487093
60000,0.00772734
80000,0.0104579
10000,0.00110075
100000,0.0133672
100000,0.013479
1000000,0.159098
10,1.56e-06
10,1.02e-06
10,8.4e-07
1000,0.000191318
1000,0.000173679
1000,0.000210658
20000,0.00342737
20000,0.00245781
20000,0.00230861
40000,0.00540551
40000,0.00485825
40000,0.00488985
60000,0.00760916
60000,0.00762925
60000,0.00759511
80000,0.0104256
80000,0.0103637
80000,0.0103495
10000,0.00108857
10000,0.00108647
10000,0.00108395
100000,0.0131646
100000,0.0131221
100000,0.0131002
10,1.78e-06
1000,0.000208298
20000,0.00473144
40000,0.0049288
60000,0.00777291
80000,0.0105812
10000,0.0011035
100000,0.0134268
1000000,0.158913
